@relation churn-4000-v8_0.25

@attribute CreditScore[g][mv1.5][i] numeric
@attribute Geography[mv2] {France,Spain,Germany}
@attribute Gender[mv1.5] {Female,Male}
@attribute Age[c][mv2][i] numeric
@attribute Tenure[c][mv1.5][i] numeric
@attribute Balance[g][mv2] numeric
@attribute NumOfProducts[m][mv1.5][i] numeric
@attribute HasCrCard[mv2] {0,1}
@attribute IsActiveMember[g][mv1.5] {0,1}
@attribute EstimatedSalary[g][mv2] numeric
@attribute Exited[c][mv2] {0,1}

@data
679,France,?,?,6,?,2,1,1,77331.77,0
694,Spain,Male,31,5,0,1,?,0,35593.18,0
452,France,Female,33,6,131698.57,?,1,?,151623.91,0
538,?,Male,40,?,0,2,1,?,25554.4,0
499,France,Female,46,6,0,2,1,0,73457.55,0
?,Germany,Male,?,7,?,?,?,?,51099.56,0
657,Spain,?,?,?,154983.98,1,1,0,27738.01,0
663,France,Male,22,6,0,?,0,1,?,0
?,Spain,Female,35,5,128415.45,1,?,0,?,0
616,France,Female,31,?,0,1,0,1,76456.17,0
695,Spain,Male,44,8,0,2,1,1,?,0
?,Germany,?,?,9,?,1,1,?,?,0
801,Spain,?,58,1,79954.61,2,1,1,30484.19,0
850,Germany,Male,27,1,?,2,1,1,26265.18,0
529,?,Female,29,8,?,?,1,0,?,0
?,France,?,30,9,0,?,1,?,?,0
597,Spain,Male,38,1,0,2,1,0,41303.29,0
699,?,Male,36,2,123601.56,2,1,0,?,0
710,Spain,Female,75,5,0,2,1,1,9376.89,0
?,?,Male,40,9,?,1,1,?,106.67,0
622,Spain,?,41,9,0,2,?,1,155786.39,0
619,Spain,Male,?,8,0,2,1,1,123242.11,0
676,Spain,?,27,4,?,1,0,1,107955.67,0
711,France,Male,?,8,?,2,0,0,48260.19,0
?,France,Male,46,3,0,?,0,1,8487.75,0
591,Spain,?,31,?,?,?,1,1,?,0
698,?,Male,44,?,116363.37,2,1,0,198059.16,0
?,Spain,Male,53,?,?,?,1,1,51711.57,0
600,Germany,Female,39,?,?,?,1,0,58632.37,0
746,France,Female,37,4,0,2,?,1,?,0
520,France,?,?,?,143396.54,2,1,?,898.51,0
794,Spain,Female,37,9,0,?,1,0,?,0
542,Spain,Male,43,6,113567.94,1,1,0,89543.25,0
?,Spain,Male,38,1,?,?,1,1,?,0
630,France,?,26,7,129837.72,2,0,1,197001.15,0
663,?,Female,46,2,141726.88,?,?,1,?,0
679,?,Male,30,?,?,2,?,0,157871.55,0
605,Germany,?,?,8,166133.28,1,1,1,107994.99,0
627,?,?,?,0,146329.73,?,0,?,43615.67,0
757,Spain,?,44,9,0,2,1,0,177528.92,0
?,France,Male,30,2,0,?,0,?,102057.86,0
?,France,Male,37,3,132623.6,?,1,?,58974,0
675,Spain,Male,66,5,115654.47,?,1,1,131970.86,0
598,Germany,?,20,8,?,?,1,1,29552.7,0
465,France,?,41,9,117221.15,?,1,0,168280.95,0
?,France,Male,33,2,0,2,0,0,130866.95,0
?,?,?,37,6,125489.4,1,?,0,118570.53,0
646,France,?,33,?,0,2,0,?,198208,0
650,Spain,Male,55,9,119618.42,1,1,1,?,0
647,?,Female,33,3,168560.46,?,0,0,90270.16,0
751,France,?,29,1,135536.5,1,1,0,66825.33,0
654,?,Male,29,1,0,?,1,?,180345.44,0
606,Spain,Female,53,1,109330.06,1,?,1,75860.01,0
593,Spain,Male,26,9,76226.9,1,1,0,167564.82,0
850,?,?,37,?,137204.77,1,1,?,?,0
696,Spain,Male,47,1,106758.6,1,1,?,80591.18,0
521,France,?,41,2,0,?,?,1,113089.43,0
671,Germany,?,44,0,84745.03,2,0,1,34673.98,0
659,?,?,36,4,132578.92,?,?,0,?,0
538,?,Male,33,6,93791.38,1,1,1,199249.29,0
?,?,Male,?,?,?,2,0,1,59103.13,0
662,France,Female,37,6,0,2,?,0,?,0
?,Germany,Male,40,7,95710.11,?,1,0,49063.42,0
?,?,?,36,?,?,?,0,0,198313.69,0
490,Germany,?,33,5,96341,2,0,?,108313.34,0
840,France,Male,30,?,136291.71,1,1,0,54113.38,0
819,Spain,?,?,?,168253.21,1,1,1,102799.14,0
?,France,Male,?,2,?,1,1,0,73656.38,0
?,France,Female,52,2,?,?,1,1,84606.03,0
850,France,Female,37,3,212778.2,?,?,1,69372.88,0
?,Spain,Male,36,?,0,2,1,1,182787.17,0
641,France,Male,37,?,0,?,1,?,?,0
706,Germany,Male,36,9,58571.18,2,1,?,40774.01,0
?,Spain,Male,32,6,161628.66,1,?,0,?,0
717,France,Male,?,7,97459.06,?,0,0,189175.71,0
513,?,Male,?,3,141004.46,1,1,0,105028.46,0
790,Spain,Male,?,8,0,2,1,?,168152.76,0
760,Germany,Male,34,6,121303.77,?,1,1,?,0
726,Germany,Male,50,9,?,1,0,1,5078.9,0
697,France,Female,?,?,?,1,1,0,172524.51,0
?,France,Male,25,?,0,2,1,0,152698.24,0
671,France,Female,42,6,0,2,?,0,197202.48,0
673,France,Male,37,4,0,?,0,?,163563.07,0
850,France,Female,?,2,0,2,?,1,171706.66,0
?,France,?,39,7,0,?,1,0,2401.26,0
661,France,Female,31,3,133964.3,?,?,1,?,0
798,Germany,?,38,4,?,1,1,0,157147.59,0
?,France,?,?,?,102133.38,1,1,?,166520.96,0
?,Spain,Male,28,2,109161.25,1,1,0,152987.42,0
566,?,Female,40,2,97001.36,2,1,0,154486.01,0
512,Spain,Female,?,3,0,2,1,1,56408.14,0
?,?,?,37,2,?,2,0,1,?,0
644,?,Male,33,?,0,1,1,0,96420.58,0
?,Spain,?,?,4,0,2,0,0,9541.15,0
?,Spain,?,35,?,116969.35,?,0,0,94488.82,0
705,France,?,25,9,0,?,0,1,112331.19,0
602,France,?,38,7,?,?,1,?,124389.61,0
643,?,Female,33,0,137811.75,?,?,1,?,0
?,France,Female,48,6,119769.77,?,0,1,66032.65,0
533,Spain,?,?,1,135289.33,2,0,1,?,0
?,Spain,Female,25,10,128509.63,1,?,0,121562.33,0
699,France,?,40,8,122038.34,1,1,0,102085.35,0
516,?,Male,50,7,?,2,?,0,?,0
574,Germany,Female,?,3,141349.43,1,1,1,100187.43,0
808,France,Female,33,?,103516.87,1,1,?,?,0
?,France,?,26,?,?,2,?,1,?,0
798,France,?,22,?,0,?,1,0,107615.43,0
785,France,Female,36,4,135438.4,1,0,0,190627.01,0
700,Spain,Male,44,?,?,?,?,?,142287.65,0
727,Spain,Female,57,1,109679.72,?,?,1,753.37,0
659,?,Female,32,9,0,2,1,?,93155.75,0
593,Germany,Female,?,5,142658.04,2,0,1,135337.11,0
645,?,Male,29,?,130131.08,2,0,?,?,0
850,France,Male,40,1,76914.21,1,?,0,?,0
511,?,Female,75,?,?,1,0,?,105425.18,0
477,France,Male,27,1,128554.98,1,1,1,133173.19,0
?,France,Female,45,2,0,2,?,1,170621.55,0
554,France,Female,?,6,0,2,1,?,181204.5,0
739,France,Male,?,5,0,?,0,0,143882.25,0
792,Spain,Female,40,7,0,1,1,0,?,0
740,France,Male,36,7,0,1,1,1,13177.4,0
?,France,Female,34,?,0,2,1,0,27022.57,0
682,Germany,Male,?,?,105163.88,2,1,1,164170.46,0
?,France,Male,?,4,66190.33,1,1,1,115186.97,0
?,Spain,Female,39,7,?,1,?,1,52327.57,0
513,France,Male,?,?,0,?,1,0,162523.66,0
841,France,Female,?,?,162701.65,2,?,1,126794.56,0
733,Germany,Female,?,?,102452.71,1,?,0,21556.95,0
812,Germany,?,25,5,54817.55,1,1,0,131660.31,0
573,Germany,Male,30,8,127406.5,1,1,0,192950.6,0
563,Spain,Female,36,4,143680.47,2,1,1,63531.19,0
641,?,?,40,7,?,1,1,0,126996.67,0
566,France,?,21,3,0,2,?,?,?,0
765,Germany,Male,?,?,102708.77,?,1,?,9087.81,0
544,France,Male,64,9,113829.45,?,1,?,124341.49,0
593,France,Female,35,6,?,2,1,?,?,0
695,Spain,Male,28,0,96020.86,1,?,1,57992.49,0
?,France,?,?,?,0,2,0,?,193022.44,0
633,France,Male,?,?,?,1,?,1,?,0
546,Spain,Male,25,7,127728.24,?,1,1,105279.74,0
444,France,?,36,7,0,2,0,1,138743.86,0
779,France,Male,62,10,119096.55,1,0,1,116977.89,0
687,Germany,?,33,9,135962.4,2,1,?,121747.96,0
?,France,?,40,5,?,?,1,1,142838.64,0
602,?,Male,37,?,?,2,?,1,153122.73,0
485,Spain,Female,30,7,?,1,1,?,107067.37,0
754,France,Male,38,?,0,2,1,0,180698.32,0
?,Germany,?,51,?,90373.28,2,?,0,?,0
?,Germany,?,31,7,138008.06,2,1,0,129912.74,0
678,?,Female,49,1,0,2,1,1,102472.9,0
669,France,Male,57,5,0,2,1,1,56875.76,0
794,Spain,Male,45,8,88656.37,2,?,?,116547.31,0
?,France,Male,?,8,0,?,1,0,77231.27,0
711,Germany,?,52,8,145262.54,1,?,?,131473.31,0
?,?,Female,41,5,77647.6,1,1,0,190429.52,0
641,France,?,35,5,0,2,1,0,?,0
770,?,Male,?,5,?,2,0,?,180326.83,0
677,?,Male,?,2,0,2,?,1,20092.89,0
535,?,?,47,0,160729.1,1,0,1,145986.35,0
713,?,Male,?,6,116980.78,2,0,1,76038.38,0
?,France,Male,?,8,?,1,1,1,186281,0
789,Germany,Female,43,9,116644.29,2,1,1,?,0
507,Spain,?,?,4,0,?,1,?,60688.38,0
850,Spain,Male,37,2,?,2,1,0,119969.99,0
701,Germany,?,?,0,150844.94,1,?,1,127623.36,0
?,France,?,35,8,0,?,0,0,164453.98,0
515,Spain,Male,29,4,?,2,1,0,9770.97,0
581,Germany,Male,31,6,?,?,1,?,?,0
?,?,Male,50,3,?,2,1,0,12016.79,0
772,Spain,Male,?,4,78653.05,1,?,0,1790.48,0
725,France,Male,?,?,98684.15,1,0,0,133720.57,0
606,France,?,35,2,132164.26,1,0,?,164815.59,0
?,?,Male,31,2,?,2,0,?,?,0
737,France,?,33,4,0,2,1,0,?,0
606,Spain,?,34,3,161572.24,1,?,1,?,0
677,?,Female,?,?,?,1,?,0,42410.21,0
648,Spain,?,42,2,98795.61,2,1,0,?,0
?,?,Female,?,9,134562.8,1,1,1,159268.67,0
642,France,Female,39,?,0,1,1,1,76821.24,0
?,?,?,26,9,162923.85,1,1,0,98368.24,0
?,France,Female,27,3,0,?,?,1,125698.97,0
661,France,?,26,8,?,2,0,0,196875.87,0
744,?,Male,44,5,120654.68,1,?,0,82290.81,0
655,France,?,39,?,94631.26,2,1,?,148948.52,0
746,?,Male,?,2,0,?,1,0,143194.05,0
?,France,?,63,7,?,2,1,1,56323.21,0
800,France,Female,49,?,108007.36,1,0,?,?,0
563,Spain,Male,32,6,0,2,1,1,19720.08,0
592,France,Male,37,4,212692.97,?,?,?,?,0
?,France,Male,29,?,145471.37,1,1,?,188382.77,0
?,?,Male,35,5,95772.97,?,1,1,112781.5,0
?,Germany,Female,?,?,?,2,1,1,?,0
723,?,Female,20,?,0,2,1,1,140385.33,0
?,Spain,Female,40,?,0,2,1,0,108891.3,0
626,Germany,Male,27,4,?,?,0,1,26907.43,0
745,France,?,47,5,0,2,?,0,145789.71,0
575,Spain,Female,31,?,0,2,1,1,95686.42,0
?,Spain,?,34,6,90723.36,1,?,1,?,0
778,Germany,?,?,?,?,2,1,0,174531.27,0
624,Spain,?,?,2,0,2,1,?,87310.59,0
736,France,?,29,?,0,2,0,0,176152.7,0
755,Germany,?,?,?,137430.82,?,0,0,176768.59,0
744,France,?,39,6,0,1,0,?,10662.58,0
673,Germany,?,41,9,98612.1,1,1,0,151349.35,0
565,Germany,?,38,7,145400.69,2,1,?,83844.79,0
642,France,Male,35,4,?,1,?,1,91775.51,0
735,France,Female,33,4,0,2,1,0,149474.69,0
692,France,Male,?,?,125547.53,?,?,0,?,0
?,Germany,?,?,2,161814.64,2,?,0,169381.9,0
850,?,Male,?,1,?,?,0,1,68594,0
797,France,Male,30,10,?,1,?,?,?,0
684,?,Male,35,3,?,1,1,1,37264.11,0
?,?,?,?,3,?,1,?,0,20973.8,0
686,?,Female,47,5,113328.93,1,?,0,?,0
732,France,Male,36,5,0,2,?,0,161428.25,0
?,Germany,Female,43,8,92244.83,?,1,0,54949.73,0
601,France,Male,74,2,0,?,?,?,51554.58,0
591,Germany,Male,46,?,129269.27,1,?,?,163504.33,0
820,Spain,Male,34,?,97208.46,?,?,1,?,0
649,France,Male,33,2,0,?,1,0,2010.98,0
505,Germany,Male,40,6,47869.69,2,1,1,155061.97,0
468,Spain,?,26,?,?,1,1,0,64436.16,0
634,Germany,?,24,8,103097.85,?,1,1,157577.29,0
553,Germany,Male,35,2,?,2,1,0,43640.16,0
569,France,?,37,?,178755.84,1,1,?,199929.17,0
527,?,Male,37,5,93722.73,2,1,1,139093.73,0
?,?,Female,40,7,141267.67,1,0,?,?,0
755,Germany,Female,30,6,?,2,0,?,62688.55,0
549,?,?,?,5,0,2,0,0,190857.79,0
652,France,?,?,10,?,?,0,0,?,0
725,?,?,36,1,118851.05,?,1,1,102747.02,0
?,?,Female,21,2,?,2,1,0,168186.11,0
?,France,Female,24,8,?,1,?,?,130075.07,0
700,Germany,?,28,3,99705.69,2,?,?,?,0
617,France,Male,54,6,102141.9,1,1,?,45325.26,0
?,France,?,34,9,132121.71,1,0,?,105409.31,0
524,France,Male,29,7,?,2,1,1,?,0
752,?,Female,53,8,?,1,1,1,?,0
706,France,Male,?,1,0,2,1,?,122379.54,0
506,France,Male,34,?,?,2,0,?,115842.1,0
631,Germany,?,37,2,121801.72,?,0,1,?,0
682,Spain,Male,36,5,0,2,1,1,147758.51,0
588,France,Female,24,0,0,2,1,1,?,0
628,France,Male,?,?,0,?,1,?,?,0
828,France,Male,?,9,0,1,0,1,164257.37,0
734,Spain,Female,?,6,?,?,?,0,112973.34,0
655,?,?,?,?,?,1,1,1,51959.82,0
680,France,Male,44,3,0,?,1,0,86935.08,0
641,?,Male,31,?,155978.17,1,?,?,91510.71,0
585,France,Female,38,5,0,?,1,1,87363.56,0
502,Germany,Female,32,1,?,1,0,1,122763.95,0
?,Germany,?,35,7,52436.2,1,1,?,161051.75,0
?,France,Female,32,4,0,2,?,0,114899.13,0
676,Spain,Female,64,4,116954.32,1,1,?,91149.48,0
?,France,Female,37,4,0,?,1,1,79881.39,0
571,France,?,35,1,104783.81,?,0,1,?,0
568,Spain,Female,26,?,0,2,?,0,166495.2,0
566,Spain,Male,32,10,147511.26,1,1,1,159891.03,0
?,?,Male,25,4,148045.45,2,?,?,114722.42,0
501,France,?,42,9,114631.23,?,0,1,91429.74,0
684,France,Male,30,2,0,2,1,0,83473.82,0
?,?,?,34,7,0,?,1,?,198969.78,0
777,?,Male,39,8,0,2,1,?,18613.52,0
?,France,Male,40,?,0,2,0,0,72849.29,0
623,France,Female,?,1,?,1,0,?,78774.36,0
633,France,Male,?,7,141546.35,1,1,1,124830.11,0
?,Germany,Male,45,5,63832.43,1,1,1,?,0
736,?,Female,?,?,0,2,1,1,117431.1,0
656,France,?,46,?,113402.14,2,1,?,138849.06,0
850,?,Female,47,9,?,1,1,0,44351.77,0
466,Germany,Male,41,2,152102.18,?,1,?,181879.56,0
656,?,?,35,?,?,2,?,0,?,0
?,Spain,Male,34,?,0,1,?,1,41724.72,0
725,Germany,Female,33,7,?,2,?,?,?,0
?,France,?,32,?,?,1,?,1,109159.58,0
652,France,Female,80,?,0,2,1,1,188603.07,0
709,Spain,Female,45,2,0,2,?,1,162922.65,0
555,Spain,Male,32,4,0,2,1,?,54405.79,0
665,?,Female,?,1,173432.55,1,0,1,?,0
610,Spain,Male,46,5,91897.8,1,1,0,54394.28,0
?,France,Female,?,?,0,2,1,1,131284.93,0
818,France,Male,36,4,0,2,1,1,8037.03,0
?,Spain,?,32,6,123912.78,2,?,1,?,0
?,Spain,Female,?,7,79858.13,2,?,?,127977.66,0
630,?,Female,40,7,0,?,?,1,34453.17,0
?,Spain,Male,?,6,0,?,1,1,134188.11,0
568,Spain,?,27,1,116320.68,?,?,1,45563.94,0
721,France,Male,42,4,102936.72,1,0,?,?,0
578,Spain,Male,28,?,0,?,?,0,6947.09,0
683,France,Male,?,4,114779.35,1,?,0,183171.47,0
?,Germany,Male,?,?,89558.39,2,1,1,4441.54,0
664,?,Male,33,7,97286.16,2,?,0,?,0
699,Spain,Female,?,8,0,2,1,1,?,0
418,?,Male,?,7,?,1,1,1,?,0
677,France,Male,58,9,0,1,0,?,168650.4,0
?,Germany,Male,?,8,?,?,?,?,67885.37,0
632,Germany,?,?,4,119624.6,2,1,?,195978.86,0
671,Spain,?,34,?,0,1,1,0,23235.38,0
458,Germany,Male,44,7,?,1,?,?,178642.73,0
745,Germany,?,48,10,96048.55,1,1,0,74510.65,0
559,?,?,?,1,?,?,?,1,?,0
?,France,Female,37,9,?,2,?,0,?,0
626,France,Female,39,0,0,2,?,1,83295.09,0
618,France,Female,35,10,?,2,1,0,180439.75,0
616,Spain,Male,?,2,0,2,1,0,199099.51,0
683,?,?,?,7,108797.63,2,0,?,?,0
773,Spain,Female,?,10,0,?,1,?,98820.09,0
768,France,Female,36,?,180169.44,2,1,0,17348.56,0
807,Germany,Female,60,1,72948.58,2,1,1,17355.36,0
657,France,Female,37,6,95845.6,1,1,0,122218.23,0
645,France,Male,25,0,174400.36,?,?,0,?,0
739,Germany,Female,25,5,?,1,?,?,?,0
576,France,Male,36,?,?,2,1,?,?,0
850,?,Female,?,2,155180.56,2,0,0,?,0
?,Spain,Male,31,0,144880.34,2,0,1,175643.44,0
640,France,?,20,4,?,2,?,1,78310.82,0
692,France,?,66,4,159732.02,1,?,1,118188.15,0
774,Germany,?,34,4,120875.23,2,0,1,113407.26,0
617,France,Male,41,7,0,?,?,1,14496.67,0
656,France,Male,39,10,0,2,?,1,98894.64,0
712,France,Male,33,2,182888.08,?,1,?,3061,0
494,Spain,?,38,?,0,2,1,1,6203.66,0
777,Germany,Female,37,10,121532.17,2,1,?,73464.88,0
?,France,Female,41,3,0,2,?,1,160095.48,0
515,France,?,33,2,?,2,1,1,136028.97,0
693,Spain,Female,34,10,?,2,0,0,154631.35,0
670,Germany,Female,?,5,49508.79,3,1,1,?,0
599,Spain,Male,34,2,101506.66,?,?,0,?,0
474,Spain,Male,?,3,?,?,?,?,57175.32,0
?,Germany,?,?,3,145166.09,?,0,0,?,0
737,Germany,Female,22,10,111543.26,?,?,0,106327.85,0
?,Spain,Male,?,?,132168.28,1,0,0,98734.15,0
727,?,?,29,1,146652.01,1,1,1,173486.39,0
803,Spain,Male,?,3,0,1,1,0,72051.44,0
693,France,Female,28,?,0,?,1,?,158545.25,0
?,Germany,?,32,5,102500.34,1,0,?,?,0
723,?,Male,28,4,0,?,1,?,?,0
?,Spain,Male,47,?,?,2,1,1,119808.64,0
651,France,Female,33,1,96834.78,1,?,0,108764.69,0
703,France,Male,44,6,98862.54,1,1,0,151516.7,0
?,Germany,Female,27,6,172310.33,1,?,1,111448.92,0
663,?,?,27,?,0,?,1,?,150850.29,0
670,Spain,Female,29,9,0,2,1,0,27359.19,0
754,?,Male,28,?,0,?,?,1,52615.62,0
779,France,Female,42,5,0,2,0,0,25951.91,0
697,France,Female,38,?,182065.85,1,?,0,49503.5,0
?,France,?,35,0,0,2,1,?,?,0
850,Germany,Male,?,9,141827.33,2,1,1,149458.73,0
732,Spain,Female,33,8,111379.55,1,?,?,45098.62,0
?,?,Female,22,7,141287.15,1,1,0,118142.79,0
471,?,?,?,5,?,?,1,?,96366.7,0
678,Germany,Female,44,2,98009.13,?,0,1,31384.86,0
624,Spain,Male,38,7,123906.55,1,1,0,135096.78,0
670,France,Male,36,7,?,2,0,?,?,0
775,Spain,?,27,4,0,?,1,1,40807.26,0
?,Spain,Male,32,9,147506.25,1,1,1,135399.21,0
?,Germany,Male,35,3,96814.46,?,1,1,120511.03,0
714,Spain,?,45,0,124693.48,1,0,1,187194.15,0
672,Germany,Female,23,10,110741.56,1,1,?,80778.5,0
605,Germany,Male,75,2,61319.63,1,0,1,186655.11,0
653,France,Female,32,4,83772.95,1,0,1,?,0
?,France,Female,40,?,?,?,1,0,35795.85,0
767,France,?,36,3,0,1,0,0,65147.27,0
673,?,?,35,6,?,?,1,0,?,0
597,France,Female,24,?,103219.47,1,?,0,60420.07,0
?,Germany,Female,?,2,?,?,1,0,149381.32,0
?,?,?,?,3,?,1,1,0,42862.82,0
781,?,Female,?,5,0,2,0,?,72969.9,0
611,France,Male,53,3,?,1,?,0,1235.49,0
?,France,Male,?,2,0,2,1,1,59864.96,0
713,?,Male,46,?,?,1,?,?,55701.62,0
701,France,?,?,9,0,2,?,0,61961.57,0
581,France,Male,41,?,?,2,?,0,?,0
734,Spain,Female,37,2,130404.92,1,0,?,34548.74,0
630,France,Female,36,2,?,1,1,1,48984.95,0
662,Germany,Male,39,5,139822.11,2,1,1,146219.9,0
773,France,Female,50,4,0,2,?,?,129372.94,0
640,France,?,?,9,?,2,?,?,88827.67,0
659,France,?,?,?,155584.21,?,0,1,?,0
?,Germany,Male,28,?,?,2,1,0,?,0
?,France,Male,25,0,0,2,?,1,184221.11,0
755,France,Male,36,8,0,2,1,?,176809.87,0
546,Germany,Female,?,3,132837.7,1,1,0,131647.31,0
537,France,?,28,3,157842.07,1,1,0,86911.49,0
629,?,Female,49,4,0,2,1,1,196335.48,0
732,?,?,?,10,61811.23,1,1,1,104222.8,0
593,?,Female,41,6,0,1,1,?,65170.66,0
640,France,?,?,7,0,?,1,1,?,0
